DT;SZ;mmin;SnID;NrSgm;f1;f2;f3;f4;f5;f6;f7;f8;f9;f10;f11;f12;f13;f14;f15;f16;S1;S2;S3;S4;S5;S6;S7;S8;S9;S10;S11;S12;S13;S14;S15;S16;FT1;FT2;FT3;FT4;FT5;FT6;FT7;FT8;FT9;FT10;FT11;FT12;FT13;FT14;FT15;SnNOK;FTNOK;Shrt;Inv;TSlw;ADCOv;ADCFlt;UndFlt
2021-01-05-01:55:42.526;TwistS_;6.768511;1;10;1374;1429;1863;1808;1678;1611;1623;1585;1506;1401;0;0;0;0;0;0;13;14;17;14;14;19;18;15;13;14;0;0;0;0;0;0;92;71;100;100;100;100;100;100;100;92;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-05-01:55:42.774;TwistZ_;6.768511;1;10;1154;1640;1927;1707;1607;1591;1577;1589;1586;1464;0;0;0;0;0;0;11;15;12;16;18;13;13;18;18;14;0;0;0;0;0;0;71;92;66;100;100;85;85;100;100;100;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-05-01:55:43.022;TwistS_;6.785626;1;10;1126;1324;1820;1757;1636;1623;1623;1594;1531;1608;0;0;0;0;0;0;11;13;13;16;18;19;16;17;14;16;0;0;0;0;0;0;92;71;92;100;100;93;100;100;100;78;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-05-01:55:43.263;TwistZ_;6.785626;1;10;1357;1025;1855;1795;1678;1628;1569;1648;1559;1567;0;0;0;0;0;0;12;14;13;15;12;14;13;15;13;12;0;0;0;0;0;0;85;57;100;100;100;71;100;93;92;85;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-05-01:55:43.511;TwistS_;6.785626;1;10;1265;1400;1898;1713;1682;1703;1611;1621;1565;1505;0;0;0;0;0;0;13;13;14;11;14;17;13;14;14;15;0;0;0;0;0;0;71;71;100;28;100;100;100;80;100;92;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-05-01:55:43.759;TwistZ_;6.785626;1;10;1280;1630;1895;1741;1607;1560;1446;1552;1519;1439;0;0;0;0;0;0;15;17;12;17;19;15;11;16;17;14;0;0;0;0;0;0;92;85;93;100;100;78;92;53;100;100;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-05-01:55:44.007;TwistS_;6.777774;1;10;1079;1257;1832;1481;1623;1611;1582;1519;1473;1447;0;0;0;0;0;0;14;16;15;15;21;16;15;15;16;13;0;0;0;0;0;0;85;92;100;100;100;100;78;100;100;71;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-05-01:55:44.255;TwistZ_;6.777774;1;10;1059;1384;1807;1661;1611;1582;1478;1587;1611;1431;0;0;0;0;0;0;14;13;14;16;13;13;13;14;12;15;0;0;0;0;0;0;92;78;86;100;100;78;92;66;85;100;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-05-01:55:44.503;TwistS_;6.777774;1;10;1130;703;1669;1448;1645;1640;1602;1527;1486;1393;0;0;0;0;0;0;12;14;10;12;15;15;17;17;13;13;0;0;0;0;0;0;50;35;26;50;92;100;100;100;57;100;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-05-01:55:44.751;TwistZ_;6.777774;1;10;1091;1459;1789;1699;1556;1598;1577;1496;1519;1494;0;0;0;0;0;0;14;15;15;19;15;20;15;14;15;14;0;0;0;0;0;0;78;85;100;100;100;100;100;73;100;100;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-05-01:55:45.000;TwistS_;6.774194;1;10;1060;1494;1848;1451;1577;1556;1342;1421;1473;1397;0;0;0;0;0;0;14;15;15;16;17;15;12;13;14;16;0;0;0;0;0;0;71;85;60;92;100;100;85;100;50;92;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-05-01:55:45.240;TwistZ_;6.774194;1;10;1299;1257;1850;1595;1652;1607;1544;1523;1505;1451;0;0;0;0;0;0;15;14;15;12;17;19;14;14;15;11;0;0;0;0;0;0;78;78;85;92;100;100;78;78;92;64;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-05-01:55:45.488;TwistS_;6.774194;1;10;1183;1596;1789;1753;1623;1724;1542;1578;1611;1542;0;0;0;0;0;0;15;16;19;16;16;10;17;15;15;12;0;0;0;0;0;0;71;57;100;100;100;50;85;100;85;64;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-05-01:55:45.736;TwistZ_;6.774194;1;10;1213;1446;1539;1812;1674;1669;1570;1489;1527;1506;0;0;0;0;0;0;12;14;11;15;16;13;13;15;14;16;0;0;0;0;0;0;100;92;73;100;100;14;71;80;100;100;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-05-01:55:45.984;TwistS_;6.788889;1;10;1552;1305;1843;1699;1644;1607;1611;1593;1624;1447;0;0;0;0;0;0;13;13;14;15;18;20;13;16;14;13;0;0;0;0;0;0;42;78;100;100;100;100;85;100;78;71;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-05-01:55:46.232;TwistZ_;6.788889;1;10;1189;1770;1847;1770;1648;1586;1582;1500;1598;1535;0;0;0;0;0;0;13;17;14;14;19;16;10;11;18;16;0;0;0;0;0;0;92;64;100;100;100;100;21;33;100;100;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-05-01:55:46.476;TwistS_;6.788889;1;10;1494;1757;1689;1816;1718;1619;1431;1595;1573;1489;0;0;0;0;0;0;14;12;11;10;10;15;13;10;12;18;0;0;0;0;0;0;57;50;40;7;42;100;100;60;92;100;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-05-01:55:46.724;TwistZ_;6.788889;1;10;1447;1567;1894;1791;1644;1619;1619;1601;1630;1470;0;0;0;0;0;0;14;16;16;16;19;20;20;20;13;12;0;0;0;0;0;0;71;85;100;100;100;100;100;100;85;78;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-05-01:55:46.972;TwistS_;6.810279;1;10;1582;1450;1792;1713;1682;1667;1616;1565;1565;1464;0;0;0;0;0;0;13;12;13;11;14;13;14;13;14;16;0;0;0;0;0;0;57;85;100;85;100;92;85;93;100;100;0;0;0;0;0;0;1023;0;0;1023;0;0;0
