DT;SZ;mmin;SnID;NrSgm;f1;f2;f3;f4;f5;f6;f7;f8;f9;f10;f11;f12;f13;f14;f15;f16;S1;S2;S3;S4;S5;S6;S7;S8;S9;S10;S11;S12;S13;S14;S15;S16;FT1;FT2;FT3;FT4;FT5;FT6;FT7;FT8;FT9;FT10;FT11;FT12;FT13;FT14;FT15;SnNOK;FTNOK;Shrt;Inv;TSlw;ADCOv;ADCFlt;UndFlt
2021-01-05-10:53:12.627;TwistS_;6.3946;1;10;1327;1845;1871;1769;1677;1582;1554;1424;1486;1398;0;0;0;0;0;0;14;13;13;13;13;19;16;17;15;16;0;0;0;0;0;0;45;45;100;100;100;100;100;100;100;100;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-05-10:53:12.891;TwistZ_;6.3946;1;10;1076;1331;1761;1673;1567;1494;1557;1546;1538;1400;0;0;0;0;0;0;10;14;15;13;17;13;14;18;20;12;0;0;0;0;0;0;18;83;100;100;100;90;81;100;75;72;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-05-10:53:13.155;TwistS_;6.386515;1;10;1089;1531;1926;1812;1604;1538;1538;1472;1542;1411;0;0;0;0;0;0;13;17;17;14;16;19;14;14;16;13;0;0;0;0;0;0;90;63;100;72;90;100;100;83;100;72;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-05-10:53:13.420;TwistZ_;6.386515;1;10;1241;1571;1950;1807;1689;1637;1637;1652;1625;1550;0;0;0;0;0;0;11;13;13;11;16;17;20;19;14;13;0;0;0;0;0;0;36;36;66;72;100;100;100;83;36;63;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-05-10:53:13.676;TwistS_;6.386515;1;10;922;1455;1816;1705;1566;1565;1573;1527;1522;1454;0;0;0;0;0;0;10;14;15;13;15;11;12;16;15;13;0;0;0;0;0;0;36;72;100;100;100;72;90;100;100;90;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-05-10:53:13.948;TwistZ_;6.386515;1;10;1245;0;1772;1669;1534;1546;1566;1494;1518;1400;0;0;0;0;0;0;10;0;14;13;13;16;16;15;17;13;0;0;0;0;0;0;27;0;25;100;100;100;100;100;100;72;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-05-10:53:14.204;TwistS_;6.359958;1;10;916;937;1841;1801;1625;1640;1570;1567;1586;1552;0;0;0;0;0;0;16;14;13;11;16;12;19;17;19;14;0;0;0;0;0;0;63;27;83;9;54;81;100;100;100;27;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-05-10:53:14.468;TwistZ_;6.359958;1;10;1248;1340;1762;1717;0;1617;1604;1585;1566;1444;0;0;0;0;0;0;16;12;14;15;0;11;13;12;17;13;0;0;0;0;0;0;90;72;83;100;0;45;90;100;100;72;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-05-10:53:14.732;TwistS_;6.359958;1;10;527;549;1867;1797;1657;1614;1528;1556;1554;1450;0;0;0;0;0;0;17;13;13;17;15;12;13;13;13;13;0;0;0;0;0;0;36;18;100;100;100;72;81;100;72;81;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-05-10:53:14.996;TwistZ_;6.359958;1;10;1284;1483;1776;1665;1586;1598;1570;1554;1477;1376;0;0;0;0;0;0;13;13;15;12;15;16;15;17;13;12;0;0;0;0;0;0;81;36;100;90;100;100;100;66;72;81;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-05-10:53:15.257;TwistS_;6.365031;1;10;1311;1713;1849;1769;1645;1574;1486;1439;1402;1329;0;0;0;0;0;0;13;14;14;15;15;19;16;16;14;12;0;0;0;0;0;0;54;27;100;100;100;100;100;100;100;72;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-05-10:53:15.521;TwistZ_;6.365031;1;10;1219;1765;1904;1746;1725;1653;1590;1538;1598;1434;0;0;0;0;0;0;11;14;11;11;12;16;19;18;18;15;0;0;0;0;0;0;72;50;81;72;91;100;100;100;91;100;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-05-10:53:15.785;TwistS_;6.365031;1;10;1329;1395;1914;1813;1661;1582;1582;1578;1586;1484;0;0;0;0;0;0;11;15;15;13;17;21;24;22;15;13;0;0;0;0;0;0;36;72;58;100;100;100;100;100;100;81;0;0;0;0;0;0;1023;0;0;1023;0;0;0
