DT;SZ;mmin;SnID;NrSgm;f1;f2;f3;f4;f5;f6;f7;f8;f9;f10;f11;f12;f13;f14;f15;f16;S1;S2;S3;S4;S5;S6;S7;S8;S9;S10;S11;S12;S13;S14;S15;S16;FT1;FT2;FT3;FT4;FT5;FT6;FT7;FT8;FT9;FT10;FT11;FT12;FT13;FT14;FT15;SnNOK;FTNOK;Shrt;Inv;TSlw;ADCOv;ADCFlt;UndFlt
2021-01-04-17:13:31.261;TwistS_;6.386003;1;10;615;937;1686;1617;1625;1432;1555;1318;1545;0;0;0;0;0;0;0;14;11;13;11;10;11;12;12;11;0;0;0;0;0;0;0;18;81;66;45;9;45;90;50;54;0;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-04-17:13:31.526;TwistZ_;6.386003;1;10;659;593;1713;0;1362;0;1494;1528;1494;1318;0;0;0;0;0;0;11;13;10;0;10;0;14;15;10;11;0;0;0;0;0;0;18;36;8;0;27;0;72;75;9;18;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-04-17:13:31.782;TwistS_;6.386003;1;10;1054;1735;1849;1629;1514;1414;1334;1358;1342;1170;0;0;0;0;0;0;10;11;15;18;22;20;19;18;17;12;0;0;0;0;0;0;9;18;91;100;100;100;100;100;100;72;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-04-17:13:32.046;TwistZ_;6.380805;1;10;1054;1151;1680;1641;1494;1466;1353;1351;1386;1362;0;0;0;0;0;0;12;11;15;16;18;14;14;14;12;13;0;0;0;0;0;0;72;45;100;100;100;100;90;100;81;100;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-04-17:13:32.310;TwistS_;6.380805;1;10;1344;834;1608;1538;0;0;1464;1417;0;1329;0;0;0;0;0;0;10;10;11;10;0;0;10;10;0;16;0;0;0;0;0;0;45;18;41;9;0;0;27;33;0;72;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-04-17:13:32.574;TwistZ_;6.380805;1;10;769;1472;1582;1413;1351;1314;1205;1212;1142;1046;0;0;0;0;0;0;10;11;11;12;12;12;15;15;12;16;0;0;0;0;0;0;18;18;58;54;72;100;63;100;100;100;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-04-17:13:32.838;TwistS_;6.380805;1;10;922;597;1948;1854;1617;1486;1402;1387;1203;1157;0;0;0;0;0;0;10;12;14;16;20;20;16;14;12;11;0;0;0;0;0;0;9;45;75;90;100;100;100;100;72;27;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-04-17:13:33.094;TwistZ_;6.380058;1;10;0;747;1574;1582;1518;1285;1406;1464;1313;1318;0;0;0;0;0;0;0;11;14;10;12;11;10;12;15;13;0;0;0;0;0;0;0;36;50;18;81;36;18;50;81;27;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-04-17:13:33.366;TwistS_;6.380058;1;10;1040;527;1590;0;0;1307;1201;1230;2197;1062;0;0;0;0;0;0;10;11;13;0;0;10;10;12;10;12;0;0;0;0;0;0;27;27;83;0;0;36;27;25;9;54;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-04-17:13:33.624;TwistZ_;6.380058;1;10;1010;1054;1547;1506;1274;1444;1406;1342;1439;0;0;0;0;0;0;0;10;10;11;12;12;13;13;14;13;0;0;0;0;0;0;0;9;18;75;100;72;72;100;91;36;0;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-04-17:13:33.887;TwistS_;6.380058;1;10;1406;802;1634;1625;1518;1450;1215;1246;1221;1175;0;0;0;0;0;0;11;11;11;15;14;11;10;11;10;11;0;0;0;0;0;0;45;36;41;45;100;45;27;66;45;36;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-04-17:13:34.151;TwistZ_;6.361974;1;10;1193;1669;1651;1629;1498;1502;1522;1541;1494;1287;0;0;0;0;0;0;11;14;22;23;20;22;18;18;10;14;0;0;0;0;0;0;54;18;100;100;100;100;100;100;9;90;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-04-17:13:34.415;TwistS_;6.361974;1;10;1279;1259;1897;1748;1566;1510;1422;1365;1338;1240;0;0;0;0;0;0;11;11;15;13;21;20;14;19;19;12;0;0;0;0;0;0;72;81;91;81;100;100;100;100;100;81;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-04-17:13:34.675;TwistZ_;6.361974;1;10;769;1411;1729;1645;1511;1457;1374;1418;0;0;0;0;0;0;0;0;11;15;14;16;13;19;15;12;0;0;0;0;0;0;0;0;18;66;100;81;90;100;100;100;0;0;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-04-17:13:34.939;TwistS_;6.373042;1;10;1669;845;1691;1635;1568;1538;1569;1507;1437;1210;0;0;0;0;0;0;10;12;11;12;13;14;15;17;15;12;0;0;0;0;0;0;9;36;72;81;90;36;63;90;63;81;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-04-17:13:35.203;TwistZ_;6.373042;1;10;1281;878;1752;1464;1663;1635;1555;1442;0;1340;0;0;0;0;0;0;13;10;12;11;10;12;10;10;0;12;0;0;0;0;0;0;54;8;81;54;63;75;45;54;0;54;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-04-17:13:35.467;TwistS_;6.373042;1;10;1373;853;1600;1464;1274;1505;1470;1450;1464;1406;0;0;0;0;0;0;11;12;10;10;10;12;14;13;10;10;0;0;0;0;0;0;36;58;63;27;45;66;100;54;25;18;0;0;0;0;0;0;1023;0;0;1023;0;0;0
