DT;SZ;mmin;SnID;NrSgm;f1;f2;f3;f4;f5;f6;f7;f8;f9;f10;f11;f12;f13;f14;f15;f16;S1;S2;S3;S4;S5;S6;S7;S8;S9;S10;S11;S12;S13;S14;S15;S16;FT1;FT2;FT3;FT4;FT5;FT6;FT7;FT8;FT9;FT10;FT11;FT12;FT13;FT14;FT15;SnNOK;FTNOK;Shrt;Inv;TSlw;ADCOv;ADCFlt;UndFlt
2021-01-05-00:58:53.707;TwistZ_;2.74502;1;10;534;358;732;728;0;0;461;662;674;641;0;0;0;0;0;0;13;15;11;12;0;0;10;11;14;13;0;0;0;0;0;0;46;42;23;46;0;0;30;46;100;84;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-05-00:58:54.315;TwistS_;2.752011;1;10;0;461;642;671;637;637;545;627;670;659;0;0;0;0;0;0;0;12;20;21;21;20;11;14;12;14;0;0;0;0;0;0;0;46;100;100;100;100;46;53;61;76;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-05-00:58:54.932;TwistZ_;2.746569;1;10;406;441;456;388;334;421;609;607;673;302;0;0;0;0;0;0;13;16;19;21;14;12;13;15;12;13;0;0;0;0;0;0;71;84;100;100;92;78;84;100;69;92;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-05-00:58:55.544;TwistS_;2.746569;1;10;256;409;463;307;307;331;366;390;402;387;0;0;0;0;0;0;20;14;13;20;21;23;29;29;23;25;0;0;0;0;0;0;100;84;64;100;100;100;100;100;100;100;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-05-00:58:56.152;TwistZ_;2.73661;1;10;334;488;571;0;615;561;576;605;583;586;0;0;0;0;0;0;16;13;12;0;11;13;15;16;18;15;0;0;0;0;0;0;100;57;30;0;15;78;100;100;100;100;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-05-00:58:56.760;TwistS_;2.73661;1;10;580;424;561;625;600;593;562;629;662;652;0;0;0;0;0;0;14;13;16;16;18;16;12;14;16;14;0;0;0;0;0;0;38;69;100;100;100;100;76;100;100;100;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-05-00:58:57.384;TwistZ_;2.741066;1;10;465;422;420;360;328;271;256;249;246;324;0;0;0;0;0;0;12;22;25;23;22;18;19;20;17;12;0;0;0;0;0;0;71;100;100;100;100;78;100;100;100;64;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-05-00:58:57.985;TwistS_;2.739446;1;10;278;346;258;263;260;258;307;376;469;671;0;0;0;0;0;0;15;12;14;12;17;13;14;14;12;11;0;0;0;0;0;0;100;92;100;92;100;100;92;100;84;53;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-05-00:58:58.593;TwistZ_;2.739446;1;10;385;417;540;567;544;539;545;576;607;516;0;0;0;0;0;0;14;20;15;14;17;18;15;11;10;11;0;0;0;0;0;0;100;100;100;100;100;100;84;69;64;30;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-05-00:58:59.209;TwistS_;2.745687;1;10;514;417;579;585;563;527;516;554;561;590;0;0;0;0;0;0;11;11;13;15;14;14;11;11;12;16;0;0;0;0;0;0;53;50;84;46;57;53;15;69;78;69;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-05-00:58:59.818;TwistZ_;2.745687;1;10;498;381;647;684;633;572;591;565;608;571;0;0;0;0;0;0;15;16;18;21;13;14;15;12;14;11;0;0;0;0;0;0;76;78;100;100;78;100;100;92;50;46;0;0;0;0;0;0;1023;0;0;1023;0;0;0
2021-01-05-00:59:00.426;TwistS_;2.739922;1;10;307;417;659;661;639;571;554;613;629;593;0;0;0;0;0;0;10;13;18;16;12;10;12;12;10;11;0;0;0;0;0;0;15;78;92;84;84;21;61;84;21;30;0;0;0;0;0;0;1023;0;0;1023;0;0;0
